familyRoot	canonicalBrainrot	speciesKey	generatedName	stageLabel	characterDescription	cardDescription
bulbasaur	Brr Brr Patapim	bulbasaur	pipi corni	base	A seed-small Patapim fragment: just the long-nosed proboscis-monkey face and shaggy grey hair sprouting out of a round leaf-wrapped bulb, with no true feet yet visible.	His name was Patapim, still seed-small, still half-hidden in leaves, already muttering brr to the roots.
bulbasaur	Brr Brr Patapim	ivysaur	pipi corni max	mid	A young swamp-druid Patapim with the elongated nose, longer grey hair, thicker leaf mantle, and one clear stepping leg growing out under the heavier plant body.	Patapim grew broader in the swamp garden, and the old brr in his throat began to sound like a spell.
bulbasaur	Brr Brr Patapim	venusaur	pipi corni ultra	final	The full Patapim at last: a complete swamp-druid proboscis monkey with the full long nose, hanging grey hair, broad body, and a huge dark green leaf mantle swallowing the back like a living robe.	Now Patapim stood ancient and moss-crowned, speaking his strange Italian nonsense like the forest had chosen a prophet.
charmander	Tung Tung Tung Sahur	charmander	tung	base	The first Tung: a baby wooden striker, mostly a short smiling club body with tiny legs, tiny simple arms, and only the first nub of a bat-like club growth separating from the wood.	First came Tung, knocking before dawn with a tiny rhythm, too small to fear and too loud to ignore.
charmander	Tung Tung Tung Sahur	charmeleon	tung tung	mid	The Tung Tung stage: a lankier young striker with the smiling wooden face, longer limbs, one clenched knocking hand, and the opposite arm still smaller and unfinished. Do not give this middle form a separate baton, club, or handheld weapon.	Then came Tung Tung, cockier and louder, grinning like sunrise owed him money.
charmander	Tung Tung Tung Sahur	charizard	tung tung tung sahur	final	The full Tung Tung Tung Sahur silhouette: a tall straight wooden plank-man with a simple cylindrical timber body, giant round eyes, a smiling human face with thin brows, skinny humanlike arms and legs, bare feet, and a heavy wooden bat or sahur club ready to swing. Keep him unmistakably as the uncanny wooden night-patroller from the OG reference: not a dragon, not an animal, not winged, not horned, not scaly, not armored, and with no tail.	At last came Tung Tung Tung Sahur, striding like a marching omen with all the timber, grin, and thunderous sahur pride intact.
squirtle	Tralalero Tralala	squirtle	trelalala	base	A starter sneaker shark reduced to a small blue shark head with a blank stare, one long fin-leg, and a single tiny blue sneaker under a turtle body.	Tralalero arrived with a blank stare and one squeaky shoe, as if the ocean had learned streetwear.
squirtle	Tralalero Tralala	wartortle	trelalala marini	mid	A sturdier sneaker shark with the same blank blue face, two clear fin-legs, and matching blue sneakers under a thicker turtle shell.	More legs, more drip, more silence; Tralalero danced without changing expression once.
squirtle	Tralalero Tralala	blastoise	trelalala camelo	final	A hulking full Tralalero war-beast with the blank shark face, multiple long fin-legs, and full blue sneakers bracing a heavy shell-cannon frame.	The sea gave him armor, but he kept the same vacant stare that made the whole joke immortal.
caterpie	Blueberrinni Octopusini	caterpie	spidi bluebe	base	A tiny Blueberrinni seed with a round blueberry head, bright eyes, and only two or three soft tentacle nubs.	Blueberrinni rolled in like a sugared tide drop, smiling with far too much confidence for its size.
caterpie	Blueberrinni Octopusini	metapod	spidi bluebe plus	mid	A sealed Blueberrinni cocoon with the fuller berry cap and all the tentacles tucked tight against a rigid shell.	It stopped moving for a while, gathering sweetness and danger in the same dark little shell.
caterpie	Blueberrinni Octopusini	butterfree	spidi bluebe boss	final	A complete Blueberrinni with the blueberry crown, wide grin, and long tentacles spread out like regal wing-streamers.	Then the berry bloomed into a proper sea menace, elegant, absurd, and impossible to forget.
weedle	La Casa Boo	weedle	spidi boo	base	A larval La Casa Boo with just the little haunted-house core, one staring eye, tiny fangs, and stilt-thin claw legs.	The little house boo tottered out of the dark with one eye open and every bad intention intact.
weedle	La Casa Boo	kakuna	spidi boo plus	mid	A rigid cocoon-house with the eye, roofline, and mouth sealed into a tighter haunted shell and almost no free limbs.	It went still, but the eye kept watching, as if the walls were waiting to bite.
weedle	La Casa Boo	beedrill	spidi boo ultra	final	A full La Casa Boo predator with the whole house body, sharp grin, tongue, and fast stabbing claw-limbs.	When the old house learned to hunt, the night itself started keeping its distance.
pidgey	Boppin Bunny	pidgey	voli bunny	base	A tiny Boppin Bunny chick with little ears, round glasses, a small bow, and a soft bird-light body.	Boppin Bunny hopped into the breeze dressed cuter than good sense ever allowed.
pidgey	Boppin Bunny	pidgeotto	voli bunny prime	mid	A leaner Boppin Bunny flier with longer ears, clearer glasses and bow, and a more confident runway-bird frame.	It stopped hopping like prey and started posing like applause was guaranteed.
pidgey	Boppin Bunny	pidgeot	voli bunny ultra	final	A full glam Boppin Bunny with the bow, glasses, long ears, and a broad high-energy winged silhouette.	Now it owned the sky the way a diva owns a stage: smiling, pink, and impossible to ignore.
rattata	Frigo Camelo	rattata	pipi camelo	base	A tiny Frigo Camelo juvenile with the camel head only just poking from a miniature fridge chest on quick rat feet.	Frigo Camelo hummed in the alleyway, cold in the chest and oddly proud about it.
