card	sourceDex	name	evolvesFromCard	stageLabel	note
001	1	Patapim Sprout		base	
002	2	Patapim Grove	001	mid	
003	3	Patapim Ancient	002	final	
004	4	Tung		base	
005	5	Tung Tung	004	mid	
006	6	Tung Tung Tung Sahur	005	final	
007	7	Trelalero		base	
008	8	Trelalero Marini	007	mid	
009	9	Trelalero Cannone	008	final	
010	10	Spidi Bluebe		base	
011	11	Spidi Bluebe Plus	010	mid	
012	12	Spidi Bluebe Boss	011	final	
013	13	Spidi Boo		base	
014	14	Spidi Boo Plus	013	mid	
015	15	Spidi Boo Ultra	014	final	
016	16	Voli Bunny		base	
017	17	Voli Bunny Prime	016	mid	
018	18	Voli Bunny Ultra	017	final	
019	19	Pipi Camelo		base	
020	20	Pipi Camelo Max	019	final	
021	21	Voli Camelo		base	
022	22	Voli Camelo Plus	021	final	
023	23	Ombra Boo		base	
024	24	Ombra Boo Prime	023	final	
025	25	Zapuccino	172	mid	
026	26	Grandzapuccino	025	final	
027	27	Pipi Bau		base	
028	28	Pipi Bau Max	027	final	
029	29	Bici Boo		base	
030	30	Bici Boo Prime	029	mid	
031	31	Bici Boo Omega	030	final	
032	32	Assa Skull		base	
033	33	Assa Skull Prime	032	mid	
034	34	Assa Skull Omega	033	final	
035	35	Cosmi Taco Max	173	mid	
036	36	Cosmi Taco Boss	035	final	
037	37	Bau Bomba		base	
038	38	Bau Bomba Prime	037	final	
039	39	Tralala Pepper Plus	174	mid	
040	40	Tralala Pepper Ultra	039	final	
041	41	Boo Ombra		base	
042	42	Boo Ombra Plus	041	mid	
043	43	Corni Avoca		base	
044	44	Corni Avoca Max	043	mid	
045	45	Corni Avoca Boo	044	final	
046	46	Cappu Chimpa		base	
047	47	Ballerina Cappuccina		solo	
048	48	Spidi Bluebe Bici		base	
049	49	Spidi Bluebe Boo	048	final	
050	50	Pipi Bau Bici		base	
051	51	Pipi Bau Prime	050	final	
052	52	Gatti Bunny		base	
053	53	Gatti Bunny Prime	052	final	
054	54	Brainrot Ducko		base	
055	55	Voli Camelo Max	054	final	
056	56	Bunny Bici		base	
057	57	Bunny Bici Max	056	final	
058	58	Bau Croco		base	
059	59	Bau Croco Max	058	final	
060	60	Dolphi Aquana		base	
061	61	Dolphi Aquana Plus	060	mid	
062	62	Dolphi Aquana Band	061	final	
063	63	Telemo Telepi		base	
064	64	Telemo Telepi Plus	063	mid	
065	65	Telemo Telepi Ultra	064	final	
066	66	Band Boss		base	
067	67	Band Boss Max	066	mid	
068	68	Band Boss Luna	067	final	
069	69	Corni Bambu		base	
070	70	Corni Bambu Max	069	mid	
071	71	Corni Bambu Boss	070	final	
072	72	Octo Dolphi		base	
073	73	Octo Dolphi Plus	072	final	
074	74	Hydra Pipi		base	
075	75	Hydra Pipi Prime	074	mid	
076	76	Hydra Pipi Omega	075	final	
077	77	Bau Rizz		base	
078	78	Bau Rizz Max	077	final	
079	79	Fishi Telemo		base	
080	80	Fishi Telemo Telepi	079	final	
081	81	Techi Brr		base	
082	82	Techi Brr Prime	081	final	
083	83	Voli Tralala		solo	
084	84	Voli Tralala Brr		base	
085	85	Voli Tralala Max	084	final	
086	86	Octo Moby		base	
087	87	Octo Moby Max	086	final	
088	88	Skull Boo		base	
089	89	Skull Boo Plus	088	final	
090	90	Aquana Moby		base	
091	91	Aquana Moby Max	090	final	
092	92	Skull Boo Luna		base	
093	93	Skull Boo Prime	092	mid	
094	94	Spookeroni	093	final	
095	95	Vicios Bau		solo	
096	96	Telepi Braini		base	
097	97	Telepi Braini Plus	096	final	
098	98	Camelo Aquana		base	
