familyRoot	canonicalBrainrot	speciesKey	generatedName	stageLabel	renderMode	characterDescription	cardDescription
chikorita	Chicoritooni	chikorita	chicoritooni	base	generate-from-prompt-only	The base stage of the Chikorita line: Chicoritooni as a tiny herb dinosaur with a rigatoni-textured body, a basil leaf crest, pale pasta-yellow skin, and simple starter proportions. Keep it clearly simpler than the later Arachnid Family and Arcadopus stages.	Chicoritooni is now the first strange sprout of the Chikorita line, the point where the joke first learns how to breathe.
chikorita	Arachnid Family	bayleef	arachnid family	mid	use-style-reference-as-full-art	The middle stage of the Chikorita line. Keep the exact recognizable Arachnid Family identity from the OG reference, but treat it as the bridge evolution between Chicoritooni and Arcadopus rather than a standalone boss.	Arachnid Family carries the Chikorita line into its louder middle act, clearly evolved but not yet the last word.
chikorita	Arcadopus	meganium	arcadopus	final	use-style-reference-as-full-art	The final stage of the Chikorita line. Keep the exact recognizable Arcadopus identity from the OG reference and let it read as the completed payoff of the family.	Arcadopus closes the Chikorita line as the fully realized payoff form.
cyndaquil	Cyndaqwilli	cyndaquil	cyndaqwilli	base	generate-from-prompt-only	The base stage of the Cyndaquil line: Cyndaqwilli as a small hot-blooded fire critter with soft ember quills, warm brown-orange coloring, and a much simpler silhouette than the later Astrolero Cervalero and Avocadini Antilopini stages.	Cyndaqwilli is the first spark of the Cyndaquil line, still compact, still volatile, and only beginning to glow.
cyndaquil	Astrolero Cervalero	quilava	astrolero cervalero	mid	use-style-reference-as-full-art	The middle stage of the Cyndaquil line. Keep the exact recognizable Astrolero Cervalero identity from the OG reference, but treat it as the bridge evolution between Cyndaqwilli and Avocadini Antilopini rather than a standalone boss.	Astrolero Cervalero pushes the Cyndaquil line into a faster and stranger middle stage without spending the whole final payoff.
cyndaquil	Avocadini Antilopini	typhlosion	avocadini antilopini	final	use-style-reference-as-full-art	The final stage of the Cyndaquil line. Keep the exact recognizable Avocadini Antilopini identity from the OG reference and let it read as the completed payoff of the family.	Avocadini Antilopini finishes the Cyndaquil line as the full absurd inferno-beast.
totodile	Totodilli	totodile	totodilli	base	generate-from-prompt-only	The base stage of the Totodile line: Totodilli as a tiny playful crocodile starter with a toothy grin, simple limb shapes, and a much lighter body plan than the later Avocadorilla and Bambu Bambu Sahur stages.	Totodilli is the first bite of the Totodile line, a small troublemaker that still has plenty of monster left to grow.
totodile	Avocadorilla	croconaw	avocadorilla	mid	use-style-reference-as-full-art	The middle stage of the Totodile line. Keep the exact recognizable Avocadorilla identity from the OG reference, but treat it as the bridge evolution between Totodilli and Bambu Bambu Sahur rather than a standalone boss.	Avocadorilla gives the Totodile line its first real muscle, but the last catastrophic form is still waiting.
totodile	Bambu Bambu Sahur	feraligatr	bambu bambu sahur	final	use-style-reference-as-full-art	The final stage of the Totodile line. Keep the exact recognizable Bambu Bambu Sahur identity from the OG reference and let it read as the completed payoff of the family.	Bambu Bambu Sahur ends the Totodile line like a full festival-war beast finally let off the chain.
sentret	Bandito Axolito	sentret	bandito axolito	base	use-style-reference-as-full-art	The base stage of the Sentret line. Keep the exact recognizable Bandito Axolito identity from the OG reference, but treat it as the first readable form rather than a standalone boss.	Bandito Axolito is now the first strange step of the Sentret line, the moment the joke first becomes a creature.
sentret	Bandito Bobritto	furret	bandito bobritto	final	use-style-reference-as-full-art	The final stage of the Sentret line. Keep the exact recognizable Bandito Bobritto identity from the OG reference and let it read as the completed payoff of the family.	Bandito Bobritto closes the Sentret line as the fully realized payoff form.
bombardino-flight	Bombardino Piccolino	hoothoot	bombardino piccolino	base	generate-from-prompt-only	The base stage of the Bombardino family: an unmistakable baby Bombardiro-like creature, with a tiny rounded bomber fuselage, a short crocodile snout already fused into the nose, little tooth hints, small predatory eyes, stub wings, and a soft juvenile propeller-belly silhouette. It should read clearly as the infant common ancestor of Bombardiro Crocodilo before the goose and hippo branches split away.	The little bomber already looked like trouble in reptile form, just not old enough to level a city yet.
